,Absolute Magnitude,orbit_id,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,ma,rms,Mean Motion,Minimum Orbit Intersection,Jupiter Tisserand Invariant,data_arc,class,pha
2994,19.0,25,0.745213653,24.87289206,181.6061675,1079.020138,0.524562089,273.1664763,3.593100384,341.2383267,0.80938,0.333636035,0.0233903,3.2880000000000003,22.0,1.0,1.0
2995,20.8,43,0.714231067,2.403752963,6.366049787000001,1659.365661,0.783870152,268.4487596,4.70217162,312.3802765000001,0.70945,0.216950374,0.0188232,2.912,6615.0,1.0,1.0
2996,21.3,26,0.5804470589999999,23.15410036,350.6292987,449.27577919999993,0.481648068,241.7978065,1.81435809,283.0268305,0.5062800000000001,0.8012895790000001,0.020343700000000003,5.2360000000000015,5855.0,1.0,1.0
2997,20.6,29,0.670110404,3.474454986,39.69867106,1741.394739,0.934475287,22.53110528,4.730906688,180.6628661,0.50616,0.206730842,0.00921076,2.93,125.0,1.0,1.0
2999,20.3,35,0.418194224,19.05159006,353.1444382,599.1466548999998,0.809222289,116.7311278,1.972538645,11.91407803,0.40692,0.60085456,0.0196297,4.629,6760.0,1.0,1.0
3000,20.7,12,0.5558125939999999,12.304705699999998,161.6301105,1473.664615,1.125726942,216.498258,3.942975711,123.0441205,0.5632,0.244288963,0.160175,3.187,1489.0,0.0,0.0
3001,20.5,11,0.5114831679999999,14.24861526,332.8672693,1287.160524,1.131277254,33.51119369,3.500199823,53.56702697,0.51493,0.279685395,0.159943,3.358,57.0,0.0,0.0
3002,19.3,24,0.4583345,2.505287472,152.2538325,1230.328326,1.217155986,220.0051144,3.276968104,153.6452515,0.59359,0.292604821,0.219422,3.483,7269.0,0.0,0.0
3003,24.0,27,0.503936633,3.027530442,166.3200092,215.33313340000004,0.348775079,7.045154546,1.057396398,125.8125202,0.42888,1.6718281780000002,0.00963178,8.035,7302.0,2.0,0.0
3004,20.9,15,0.676639755,9.652855628,207.3374817,1536.756507,0.842735032,115.3601346,4.369625148,59.89566598,0.48682,0.234259623,0.0336967,3.024,7704.0,1.0,1.0
3005,21.5,12,0.531596404,8.305538491,336.8853537,1623.6579359999996,1.266341858,39.89880555,4.140712522,314.4517943,0.61306,0.221721578,0.28363,3.133,58.0,0.0,0.0
