diameter_sigma,id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM,M1,K1,M2,K2,PC,epoch_mjd,a,e,i,om,w,ma,epoch,q,e,i,om,w,tp,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per
0.15,a0003200,2003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,,Y,Y,14.3,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,"  3200 Phaethon (1983 TB)",1.271367883105276,.8898311197562023,22.25951266523018,265.2176938901853,322.1867117767109,.1400651760596358,2.402670590150917,1.43355730000401,13524,0,4888,8,0,14.3,6.25,,0.1066,3.604,,,,,B,F,"  3200 Phaethon (1983 TB)",.8898311197562023,.1400651760596358,22.25951266523018,265.2176938901853,322.1867117767109,2.402670590150917,20201207.5968857,1.43355730000401,APO,13524,0,4888,,,-6.291859660445605E-15,,,,,,,,6.25,,0.1066,3.604,,,,,,,59000,1.271367883105276,.8898311197562023,22.25951266523018,265.2176938901853,322.1867117767109,228.9572436131762,2459000.5,.1400651760596358,.8898311197562023,22.25951266523018,265.2176938901853,322.1867117767109,2459191.096885656430,7.6903E-10,7.5894E-10,2.4037E-7,6.2411E-7,5.7322E-7,4.3194E-7,1.4343E-9,6.1564E-10,7.9085E-7,4.6885E-7
,a0003361,2003361,"  3361 Orpheus (1982 HR)",3361,Orpheus,,Y,Y,19.03,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,"  3361 Orpheus (1982 HR)",1.209662179045708,.3227518287938224,2.685064208145241,189.5305495453812,301.6952073346065,.8192414985359853,1.60008285955543,1.33046776185491,13173,0,870,,,19.03,0.3,,0.357,3.5327,,1.022,0.503,,,,"  3361 Orpheus (1982 HR)",.3227518287938224,.8192414985359853,2.685064208145241,189.5305495453812,301.6952073346065,1.60008285955543,20110524.1929576,1.33046776185491,APO,13173,0,870,,,2.095597614176399E-14,,,,,,,,0.3,,0.357,3.5327,,,,,,,55844,1.209662179045708,.3227518287938224,2.685064208145241,189.5305495453812,301.6952073346065,102.8299018073053,2455844.5,.8192414985359853,.3227518287938224,2.685064208145241,189.5305495453812,301.6952073346065,2455705.692957596580,3.7127E-8,1.1101E-9,4.0392E-6,4.38E-5,4.4104E-5,7.9289E-6,1.4683E-9,1.0197E-9,1.0813E-5,6.6891E-7
,a0003362,2003362,"  3362 Khufu (1984 QA)",3362,Khufu,,Y,Y,18.3,,,,,,,0.7,,0.21,,,,,,,,,,"  3362 Khufu (1984 QA)",.9895240677031433,.4684786225760869,9.91690600813587,152.4336909462086,55.05400164486407,.5259531954596882,1.453094939946598,0.984345918712588,7394,1,266,,,18.3,0.7,,0.21,,,,,,,,"  3362 Khufu (1984 QA)",.4684786225760869,.5259531954596882,9.91690600813587,152.4336909462086,55.05400164486407,1.453094939946598,20201108.9610290,0.984345918712588,ATE,7394,1,266,,,,,,,,,,,0.7,,0.21,,,,,,,,59000,.9895240677031433,.4684786225760869,9.91690600813587,152.4336909462086,55.05400164486407,197.8283040201547,2459000.5,.5259531954596882,.4684786225760869,9.91690600813587,152.4336909462086,55.05400164486407,2459162.461029004874,5.7403E-7,1.2893E-8,1.2111E-5,5.8629E-5,4.8035E-5,.00017923,1.8933E-8,1.9569E-8,.00018212,7.0267E-6
,a0003671,2003671,"  3671 Dionysus (1984 KD)",3671,Dionysus,,Y,Y,16.4,,,,,,,1.5,,0.16,2.7053,,,,,Cb,,,,"  3671 Dionysus (1984 KD)",2.198591327754923,.5416798964778041,13.53409449469314,82.08578905609093,204.2630364432902,1.007658604939639,3.389524050570208,3.26005530833806,13326,0,706,,,16.4,1.5,,0.16,2.7053,,,,,Cb,,"  3671 Dionysus (1984 KD)",.5416798964778041,1.007658604939639,13.53409449469314,82.08578905609093,204.2630364432902,3.389524050570208,20200504.5573480,3.26005530833806,APO,13326,0,706,,,,,,,,,,,1.5,,0.16,2.7053,,,,,,,59000,2.198591327754923,.5416798964778041,13.53409449469314,82.08578905609093,204.2630364432902,7.994518618488106,2459000.5,1.007658604939639,.5416798964778041,13.53409449469314,82.08578905609093,204.2630364432902,2458974.057347952652,2.1211E-8,1.8234E-9,4.752E-6,1.4461E-5,1.4849E-5,6.1765E-6,2.8111E-9,3.7611E-10,2.0401E-5,1.4813E-6
,a0003757,2003757,"  3757 Anagolay (1982 XB)",3757,Anagolay,,Y,Y,18.9,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,"  3757 Anagolay (1982 XB)",1.834366453577306,.44630354796355,3.867817849320273,74.96083695184362,17.22973130025246,1.015682197080439,2.653050710074172,2.48449056345933,13428,0,173,0,2,18.9,0.5,,0.18,9.012,,0.859,0.522,,,S,"  3757 Anagolay (1982 XB)",.44630354796355,1.015682197080439,3.867817849320273,74.96083695184362,17.22973130025246,2.653050710074172,20200412.9121290,2.48449056345933,APO,13428,0,173,,,,,,,,,,,0.5,,0.18,9.012,,,,,,,59000,1.834366453577306,.44630354796355,3.867817849320273,74.96083695184362,17.22973130025246,19.07701735902614,2459000.5,1.015682197080439,.44630354796355,3.867817849320273,74.96083695184362,17.22973130025246,2458952.412128960774,5.2143E-8,2.3422E-9,6.7028E-6,6.9929E-5,7.3298E-5,1.1844E-5,3.3876E-9,7.5981E-10,2.9776E-5,1.738E-6
0.5,a0004015,2004015,"  4015 Wilson-Harrington (1979 VA)",4015,Wilson-Harrington,,Y,Y,15.99,,,,,,,4,,0.05,3.5736,,0.666,0.279,,,CF,,0.5,"  4015 Wilson-Harrington (1979 VA)",2.625914318209086,.6311870131501052,2.798294802795844,266.8177006839392,95.37013411934119,.9684713029105984,4.283357333507575,4.25528869038821,25702,0,983,,,15.99,4,,0.05,3.5736,,0.666,0.279,,,CF,"  4015 Wilson-Harrington (1979 VA)",.6311870131501052,.9684713029105984,2.798294802795844,266.8177006839392,95.37013411934119,4.283357333507575,20180523.6575209,4.25528869038821,APO,25702,0,983,,,,,,,,,,,4,,0.05,3.5736,,,,,,,59000,2.625914318209086,.6311870131501052,2.798294802795844,266.8177006839392,95.37013411934119,171.0177161907802,2459000.5,.9684713029105984,.6311870131501052,2.798294802795844,266.8177006839392,95.37013411934119,2458262.157520864563,3.9254E-8,4.954E-9,5.2523E-6,9.827E-5,9.8248E-5,3.1513E-6,8.0809E-9,6.5547E-10,1.2219E-5,4.3983E-6
,a0004034,2004034,"  4034 Vishnu (1986 PA)",4034,Vishnu,,Y,Y,18.4,,,,,,,0.42,,0.52,44.4,,,,,O,,,,"  4034 Vishnu (1986 PA)",1.059782692407996,.4441281549688664,11.17029424872443,157.9299804351317,296.66576408612,.5891033605608949,1.530462024255097,1.09102181964671,12383,0,488,0,1,18.4,0.42,,0.52,44.4,,,,,O,,"  4034 Vishnu (1986 PA)",.4441281549688664,.5891033605608949,11.17029424872443,157.9299804351317,296.66576408612,1.530462024255097,20200924.7157383,1.09102181964671,APO,12383,0,488,,,-5.859451038580857E-14,,,,,,,,0.42,,0.52,44.4,,,,,,,59000,1.059782692407996,.4441281549688664,11.17029424872443,157.9299804351317,296.66576408612,254.5593045815552,2459000.5,.5891033605608949,.4441281549688664,11.17029424872443,157.9299804351317,296.66576408612,2459117.215738329541,6.6018E-8,9.0463E-9,7.5933E-6,4.2451E-5,3.9229E-5,2.8165E-5,1.3064E-8,1.1567E-8,3.244E-5,5.1023E-6
,a0004179,2004179,"  4179 Toutatis (1989 AC)",4179,Toutatis,,Y,Y,15.2,0.10,,,,,,5.4,1.70x2.03x4.26,0.405,176.,,,,,Sk,,,,"  4179 Toutatis (1989 AC)",2.545398024650307,.624248642306229,.4479490691887562,125.1994092408335,277.9899152010666,.9564367636333955,4.134359285667218,4.06108197819832,31703,0,6212,35,28,15.2,5.4,1.70x2.03x4.26,0.405,176.,,,,,Sk,,"  4179 Toutatis (1989 AC)",.624248642306229,.9564367636333955,.4479490691887562,125.1994092408335,277.9899152010666,4.134359285667218,20201217.7274852,4.06108197819832,APO,31703,0,6212,,-4.108476342190339E-13,-6.483188884244108E-15,,,,,,,,5.4,1.70x2.03x4.26,0.405,176.,,,,,,,59000,2.545398024650307,.624248642306229,.4479490691887562,125.1994092408335,277.9899152010666,311.2833559449779,2459000.5,.9564367636333955,.624248642306229,.4479490691887562,125.1994092408335,277.9899152010666,2459201.227485202801,1.458E-9,4.466E-10,1.9014E-7,2.4053E-5,2.3559E-5,2.2437E-7,7.2538E-10,6.3873E-11,9.7696E-7,3.9037E-7
0.102,a0004183,2004183,"  4183 Cuno (1959 LM)",4183,Cuno,,Y,Y,14.1,,,,,,,3.651,,0.097,3.5595,,,,,Sq,,,0.102,"  4183 Cuno (1959 LM)",1.983072161628205,.6341387636243487,6.704037023888967,294.8674921347591,236.349005699506,.7255292328754304,3.240615090380979,2.79264659043055,22171,0,2397,1,0,14.1,3.651,,0.097,3.5595,,,,,Sq,,"  4183 Cuno (1959 LM)",.6341387636243487,.7255292328754304,6.704037023888967,294.8674921347591,236.349005699506,3.240615090380979,20200820.1746256,2.79264659043055,APO,22171,0,2397,,,,,,,,,,,3.651,,0.097,3.5595,,,,,,,59000,1.983072161628205,.6341387636243487,6.704037023888967,294.8674921347591,236.349005699506,331.350530072703,2459000.5,.7255292328754304,.6341387636243487,6.704037023888967,294.8674921347591,236.349005699506,2459081.674625575881,2.4177E-8,2.1867E-9,3.309E-6,2.7046E-5,2.7135E-5,4.4452E-6,3.5733E-9,5.8376E-10,1.269E-5,1.6871E-6
,a0004450,2004450,"  4450 Pan (1987 SY)",4450,Pan,,Y,Y,17.1,,,,,,,,,,56.48,,,,,,,,,"  4450 Pan (1987 SY)",1.442495036894798,.5866724004690648,5.520539441397539,311.8067224742356,291.836413902788,.5962230109350147,2.288767062854581,1.73252573210907,30599,0,1298,1,0,17.1,,,,56.48,,,,,,,"  4450 Pan (1987 SY)",.5866724004690648,.5962230109350147,5.520539441397539,311.8067224742356,291.836413902788,2.288767062854581,20200527.9956377,1.73252573210907,APO,30599,0,1298,,,,,,,,,,,,,,56.48,,,,,,,59000,1.442495036894798,.5866724004690648,5.520539441397539,311.8067224742356,291.836413902788,1.709168508958802,2459000.5,.5962230109350147,.5866724004690648,5.520539441397539,311.8067224742356,291.836413902788,2458997.495637725727,2.0036E-8,3.0539E-9,3.6308E-6,2.0599E-5,1.994E-5,8.1896E-6,4.8456E-9,1.8066E-9,1.4386E-5,2.0096E-6
